timestamp,pregunta,latencia_ms,cumple_100ms
2026-05-29 13:39:11,¿cuántas calorías tiene una quesadilla de pollo?,1169.18,False
2026-05-29 13:39:45,¿cuántas calorías tienen las grasas por gramo?,484.62,False
2026-05-29 13:40:00,quiero registrarme,613.12,False
2026-05-29 13:43:48,quiero registrarme,1639.41,False
2026-05-29 13:44:22,"Regístrame como María, 25 años, 60kg, 162cm, bajar peso",1554.48,False
2026-05-29 13:45:05,"soy Carlos, ¿qué llevo hoy?",959.10,False
2026-05-29 13:45:36,"Regístrame como María, 30 años, 75kg, 168cm, ganar músculo",1575.86,False
2026-05-29 13:49:30,consultar datos,638.89,False
2026-05-29 14:03:31,"soy María, ¿que llevo hoy?",1737.51,False
2026-05-29 14:03:52,consultar mis progresos,1168.70,False
2026-05-29 14:04:26,Registra que comí 200g de pollo con 330 calorías,1273.59,False
2026-05-29 14:04:45,"Espera, me equivoqué, bórralo",1161.41,False
2026-05-29 14:05:08,Registra que comí 200g de pollo con 330 calorías y 150g de arroz blanco cocido,795.03,False
2026-05-29 14:09:15,"soy María, quiero registrar comida.",1234.52,False
2026-05-29 14:09:33,Registra que comí 200g de pollo con 330 calorías,1208.22,False
